	SME-2	SME-5	SME-1	SME-3	SME-4
SME-2	0	3	6	3	2
SME-5	3	0	5	2	1
SME-1	6	5	0	5	4
SME-3	3	2	5	0	1
SME-4	2	1	4	1	0
