	CTX-M-130	CTX-M-121	CTX-M-155	CTX-M-42	CTX-M-112	CTX-M-50	CTX-M-24	CTX-M-19	CTX-M-38	CTX-M-58	CTX-M-56	CTX-M-88	CTX-M-126	CTX-M-107	CTX-M-11	CTX-M-125	CTX-M-101	CTX-M-36	CTX-M-35	CTX-M-159	CTX-M-151	CTX-M-25	CTX-M-147	CTX-M-1	CTX-M-94	CTX-M-30	CTX-M-76	CTX-M-69	CTX-M-9	CTX-M-82	CTX-M-47	CTX-M-117	CTX-M-41	CTX-M-20	CTX-M-122	CTX-M-34	CTX-M-65	CTX-M-137	CTX-M-123	CTX-M-40	CTX-M-98	CTX-M-49	CTX-M-81	CTX-M-100	CTX-M-8	CTX-M-48	CTX-M-55	CTX-M-31	CTX-M-87	CTX-M-158	CTX-M-68	CTX-M-102	CTX-M-14	CTX-M-108	CTX-M-142	CTX-M-99	CTX-M-131	CTX-M-93	CTX-M-139	CTX-M-113	CTX-M-77	CTX-M-61	CTX-M-4	CTX-M-86	CTX-M-54	CTX-M-22	CTX-M-114	CTX-M-141	CTX-M-7	CTX-M-21	CTX-M-64	CTX-M-124	CTX-M-39	CTX-M-105	CTX-M-28	CTX-M-6	CTX-M-33	CTX-M-96	CTX-M-157	CTX-M-46	CTX-M-67	CTX-M-110	CTX-M-109	CTX-M-80	CTX-M-85	CTX-M-3	CTX-M-52	CTX-M-132	CTX-M-26	CTX-M-60	CTX-M-92	CTX-M-74	CTX-M-103	CTX-M-13	CTX-M-78	CTX-M-44	CTX-M-63	CTX-M-32	CTX-M-84	CTX-M-16	CTX-M-152	CTX-M-156	CTX-M-95	CTX-M-71	CTX-M-53	CTX-M-2	CTX-M-79	CTX-M-5	CTX-M-90	CTX-M-66	CTX-M-45	CTX-M-23	CTX-M-144	CTX-M-115	CTX-M-106	CTX-M-12	CTX-M-134	CTX-M-27	CTX-M-59	CTX-M-91	CTX-M-75	CTX-M-72	CTX-M-116	CTX-M-111	CTX-M-51	CTX-M-17	CTX-M-136	CTX-M-29	CTX-M-43	CTX-M-148	CTX-M-10	CTX-M-160	CTX-M-83	CTX-M-89	CTX-M-129	CTX-M-37	CTX-M-104	CTX-M-62	CTX-M-15	CTX-M-161	CTX-M-162	CTX-M-163	CTX-M-164	CTX-M-165	CTX-M-166	CTX-M-127	CTX-M-138	CTX-M-140	CTX-M-143	CTX-M-146	CTX-M-150	CTX-M-153	CTX-M-154	CTX-M-167	CTX-M-168	CTX-M-169	CTX-M-170	CTX-M-171	CTX-M-172	CTX-M-173	CTX-M-174	CTX-M-175	CTX-M-176	CTX-M-177	CTX-M-178	CTX-M-179	CTX-M-180	CTX-M-181	CTX-M-182	CTX-M-183	CTX-M-184	CTX-M-185	CTX-M-186	CTX-M-187	CTX-M-188	CTX-M-189	CTX-M-190	CTX-M-191	CTX-M-192	CTX-M-193	CTX-M-194	CTX-M-195	CTX-M-196	CTX-M-197	CTX-M-198	CTX-M-199	CTX-M-200	CTX-M-201	CTX-M-202	CTX-M-203	CTX-M-204	CTX-M-205	CTX-M-206	CTX-M-207	CTX-M-208	CTX-M-209	CTX-M-210	CTX-M-211	CTX-M-212	CTX-M-213	CTX-M-214	CTX-M-215	CTX-M-216	CTX-M-217	CTX-M-218	CTX-M-219	CTX-M-220	CTX-M-221	CTX-M-222	CTX-M-223	CTX-M-224	CTX-M-225	CTX-M-226	CTX-M-227	CTX-M-228	CTX-M-229	CTX-M-230	CTX-M-231	CTX-M-232	CTX-M-233	CTX-M-234	CTX-M-235	CTX-M-236	CTX-M-237	CTX-M-238	CTX-M-239	CTX-M-240	CTX-M-241	CTX-M-242	CTX-M-244	CTX-M-73	CTX-M-97
CTX-M-130	0	5	235	233	4	4	4	4	4	237	207	232	5	246	257	5	234	235	207	5	360	201	5	236	200	234	206	234	7	232	4	234	200	206	5	230	5	68	148	198	5	5	7	200	193	4	234	207	5	237	229	5	3	246	234	5	207	5	234	4	207	235	213	4	233	233	235	207	213	12	119	206	199	6	234	208	234	237	234	6	4	10	244	233	4	232	234	173	198	237	207	209	234	7	199	206	199	237	4	8	200	232	208	234	233	206	235	205	4	233	16	235	235	207	9	236	5	4	207	201	211	233	233	4	8	5	233	235	207	6	229	200	4	200	5	234	4	235	233	5	233	234	235	208	237	234	238	4	234	237	237	147	234	233	4	234	234	207	234	234	5	237	234	232	234	235	234	234	234	234	234	198	234	232	234	234	235	4	5	234	232	5	5	233	4	121	207	4	234	233	233	199	234	235	234	234	232	241	234	6	8	6	234	201	234	8	233	70	237	6	233	232	235	236	234	208	235	233	234	5	149	4	233	234	234	6	5	10	5	234	5	207
CTX-M-121	5	0	232	232	3	3	3	3	3	236	208	231	4	243	256	4	231	234	208	2	358	200	4	235	199	233	207	231	6	229	3	231	199	207	4	229	4	65	145	198	2	4	6	199	191	3	231	208	4	236	228	2	2	243	231	4	206	2	231	3	208	234	214	3	232	232	232	208	214	11	116	207	200	3	231	209	231	234	231	5	3	9	241	232	3	231	233	170	199	236	208	208	231	6	200	208	199	234	3	5	201	229	209	231	230	207	232	206	3	232	15	234	232	208	10	235	2	1	208	202	210	232	232	3	7	4	232	232	207	5	228	199	3	201	2	233	3	234	230	4	232	231	232	209	236	231	237	1	231	236	234	144	231	232	3	231	231	208	231	231	2	236	231	231	231	232	231	231	231	231	231	199	231	231	231	231	232	3	2	229	229	2	2	230	3	116	208	3	231	232	232	200	233	232	231	231	229	240	233	5	5	5	231	200	231	7	232	69	236	3	230	229	232	233	231	209	232	230	231	2	146	3	232	231	231	3	2	9	2	231	4	208
CTX-M-155	235	232	0	6	233	233	233	233	233	16	233	5	234	21	37	234	5	14	233	232	402	222	234	15	221	16	231	7	234	5	233	5	221	232	233	27	234	167	87	229	232	234	235	221	225	232	5	233	234	16	30	232	232	21	5	234	231	232	5	233	231	14	240	233	6	6	6	233	239	238	116	234	222	233	6	236	5	12	3	234	233	238	20	7	233	5	7	62	223	14	233	236	5	233	225	233	230	14	233	233	226	5	229	5	28	232	6	232	233	6	243	14	6	235	239	13	232	231	233	224	235	6	10	233	235	233	8	11	232	235	26	221	232	223	232	22	233	14	4	232	6	5	6	232	16	5	17	233	5	16	8	88	5	6	233	14	5	233	5	5	231	16	5	9	5	6	5	5	5	5	5	226	5	9	5	5	6	233	232	5	5	232	232	5	233	118	233	233	5	6	6	226	13	6	5	5	5	14	10	232	235	235	5	222	5	235	6	167	16	233	5	5	6	7	5	234	6	5	5	232	90	233	6	5	5	233	232	237	232	5	234	233
CTX-M-42	233	232	6	0	231	231	231	230	231	10	230	3	231	19	35	232	3	10	229	232	400	222	231	11	221	12	228	5	232	3	231	3	221	229	231	23	232	167	87	227	232	232	233	221	223	230	3	230	232	12	28	232	230	19	3	231	230	232	3	231	228	10	237	231	2	2	4	230	236	236	116	231	220	233	4	233	3	10	3	232	231	236	18	3	231	1	2	62	221	10	230	232	3	231	223	230	228	12	231	233	224	3	227	3	26	229	4	229	231	2	241	8	4	232	237	9	232	231	230	222	233	2	6	231	233	231	4	9	231	233	22	221	230	221	232	20	231	9	2	230	2	3	4	229	12	3	13	231	3	12	6	88	3	2	231	12	3	230	3	3	231	12	3	5	3	4	3	3	3	3	3	224	3	5	3	3	4	231	232	3	3	232	232	3	231	118	230	231	3	2	2	224	9	4	3	3	3	10	4	230	233	233	3	222	3	232	2	164	12	233	3	3	4	5	3	232	4	3	3	232	90	231	2	3	3	233	232	235	232	3	232	230
CTX-M-112	4	3	233	231	0	2	2	2	2	235	205	232	3	244	255	3	232	233	205	3	359	201	3	234	200	232	204	232	5	230	2	232	200	204	3	228	3	66	146	197	3	3	5	200	192	2	232	205	3	235	227	3	1	244	232	3	205	3	232	2	205	233	211	2	231	231	233	205	211	10	117	204	199	4	232	206	232	235	232	4	2	8	242	231	2	230	232	171	198	235	205	205	232	5	199	205	198	235	2	6	200	230	206	232	231	204	233	203	2	231	14	233	233	205	9	234	3	2	205	201	207	231	231	2	6	3	231	233	206	4	227	200	2	200	3	232	2	233	231	3	231	232	233	206	235	232	236	2	232	235	235	145	232	231	2	232	232	205	232	232	3	235	232	230	232	233	232	232	232	232	232	198	232	230	232	232	233	2	3	232	230	3	3	231	2	119	205	2	232	231	231	199	232	233	232	232	230	239	232	4	6	4	232	201	232	6	231	68	235	4	231	230	233	234	232	206	233	231	232	3	147	2	231	232	232	4	3	8	3	232	3	205
CTX-M-50	4	3	233	231	2	0	2	2	2	235	207	232	3	244	255	3	232	233	207	3	359	201	3	234	200	232	206	232	5	230	2	232	200	206	3	228	3	66	146	197	3	1	5	200	192	2	232	207	3	235	227	3	1	244	232	3	207	3	232	2	207	233	213	2	231	231	233	207	213	10	117	206	199	4	232	208	232	235	232	2	2	8	242	231	2	230	232	171	198	235	207	207	232	5	199	207	198	235	2	6	200	230	208	232	231	206	233	205	2	231	14	233	233	207	9	234	3	2	207	201	209	231	231	2	6	3	231	233	208	4	227	200	2	200	3	232	2	233	231	3	231	232	233	208	235	232	236	2	232	235	235	145	232	231	2	232	232	207	232	232	3	235	232	230	232	233	232	232	232	232	232	198	232	230	232	232	233	2	3	232	230	3	3	231	2	119	207	2	232	231	231	199	232	233	232	232	230	239	232	4	6	4	232	201	232	6	231	68	235	4	231	230	233	234	232	208	233	231	232	3	147	2	231	232	232	4	3	8	3	232	3	207
CTX-M-24	4	3	233	231	2	2	0	2	2	235	207	232	3	244	255	1	232	233	207	3	359	201	3	234	200	232	206	232	5	230	2	232	200	206	1	228	1	66	146	197	3	3	5	200	192	2	232	207	3	235	227	3	1	244	232	1	207	3	232	2	207	233	213	2	231	231	233	207	213	10	117	206	199	4	232	208	232	235	232	4	2	8	242	231	2	230	232	171	198	235	207	207	232	5	199	207	198	235	2	6	200	230	208	232	231	206	233	205	2	231	14	233	233	207	9	234	3	2	207	201	209	231	231	2	6	3	231	233	208	2	227	200	2	200	3	232	2	233	231	3	231	232	233	208	235	232	236	2	232	235	235	145	232	231	2	232	232	207	232	232	3	235	232	230	232	233	232	232	232	232	232	198	232	230	232	232	233	2	3	232	230	3	1	231	2	119	207	2	232	231	231	199	232	233	232	232	230	239	232	4	6	2	232	201	232	6	231	68	235	4	231	230	233	234	232	208	233	231	232	3	147	2	231	232	232	4	3	8	3	232	3	207
CTX-M-19	4	3	233	230	2	2	2	0	2	234	207	232	2	244	255	3	232	233	205	3	359	201	1	234	200	232	206	232	5	230	2	232	200	206	3	228	3	66	146	197	3	3	5	200	192	2	232	207	3	235	227	3	1	244	232	1	207	3	232	2	207	233	213	2	231	231	233	207	213	10	117	206	199	4	232	208	232	235	232	4	2	8	242	231	2	230	230	171	198	235	207	206	232	5	199	207	198	235	2	6	200	230	208	232	231	206	233	205	2	231	14	232	233	207	9	234	3	2	207	201	209	231	231	2	6	3	231	233	208	4	227	200	2	200	3	232	2	231	231	3	231	232	233	208	235	232	236	2	232	235	235	145	232	231	2	232	232	207	232	232	3	235	232	230	232	233	232	232	232	232	232	198	232	230	232	232	233	2	3	232	230	3	3	231	2	119	207	2	232	231	231	199	232	233	232	232	230	239	231	4	6	4	232	201	232	4	231	66	235	4	231	230	233	234	232	208	233	231	232	3	147	2	231	232	232	4	3	8	3	232	3	207
CTX-M-38	4	3	233	231	2	2	2	2	0	235	207	232	3	244	255	3	232	233	207	3	359	201	3	234	200	232	206	232	5	230	2	232	200	206	3	227	3	66	146	197	3	3	5	200	192	2	232	207	3	235	226	3	1	244	232	3	207	3	232	2	207	233	213	2	231	231	233	207	213	10	117	206	199	4	232	208	232	235	232	4	2	8	242	231	2	230	232	171	198	235	207	207	232	5	199	207	198	235	2	6	200	230	208	232	230	206	233	205	2	231	14	233	233	207	9	234	3	2	207	201	209	231	231	2	6	3	231	233	208	4	226	200	2	200	3	232	2	233	231	3	231	232	233	208	235	232	236	2	232	235	235	145	232	231	2	232	232	207	232	232	3	235	232	230	232	233	232	232	232	232	232	198	232	230	232	232	233	2	3	232	230	3	3	231	2	119	207	2	232	231	231	199	232	233	232	232	230	239	232	4	6	4	232	201	232	6	231	68	235	4	231	230	233	234	232	208	233	231	232	3	147	2	231	232	232	4	3	8	3	232	3	207
CTX-M-58	237	236	16	10	235	235	235	234	235	0	234	13	235	26	44	236	13	2	233	236	398	220	233	1	221	17	232	11	236	13	235	13	221	233	235	25	234	173	95	230	234	236	237	221	226	234	11	234	234	2	32	236	234	26	13	235	234	236	13	235	232	2	241	235	12	10	12	234	240	240	122	235	220	235	10	237	13	18	13	236	235	240	24	13	235	11	10	72	221	16	234	237	13	235	223	234	231	2	235	237	224	13	231	13	26	233	10	233	233	12	245	5	12	236	241	17	236	235	234	220	238	12	8	235	235	233	12	13	235	235	24	219	234	219	236	20	235	13	12	234	12	13	12	233	2	13	3	235	13	2	16	96	13	12	235	18	13	234	13	13	235	2	13	15	13	12	13	13	13	13	13	223	13	15	13	13	12	235	236	13	13	236	236	13	235	124	234	235	13	12	12	224	17	12	13	13	13	20	12	234	237	237	13	222	13	236	12	170	2	237	13	13	12	13	13	236	12	13	13	236	96	235	12	13	13	237	236	237	236	13	236	234
